 ==================================================================
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> février 07, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lithium

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 200.00 MeV   3.693E-03  1.016E-06  589.24 mm    22.71 mm     9.65 mm  
 225.00 MeV   3.426E-03  9.110E-07  720.83 mm    29.45 mm    11.68 mm  
 250.00 MeV   3.211E-03  8.261E-07  861.94 mm    35.66 mm    13.84 mm  
 275.00 MeV   3.034E-03  7.561E-07    1.01 m     41.57 mm    16.10 mm  
 300.00 MeV   2.887E-03  6.974E-07    1.17 m     47.30 mm    18.45 mm  
 325.00 MeV   2.762E-03  6.474E-07    1.34 m     52.88 mm    20.88 mm  
 350.00 MeV   2.655E-03  6.043E-07    1.51 m     58.36 mm    23.38 mm  
 375.00 MeV   2.562E-03  5.667E-07    1.69 m     63.74 mm    25.95 mm  
 400.00 MeV   2.481E-03  5.337E-07    1.87 m     69.05 mm    28.58 mm  
 450.00 MeV   2.346E-03  4.783E-07    2.26 m     88.39 mm    33.97 mm  
 500.00 MeV   2.239E-03  4.336E-07    2.67 m    105.78 mm    39.53 mm  
 550.00 MeV   2.153E-03  3.967E-07    3.10 m    121.95 mm    45.21 mm  
 600.00 MeV   2.082E-03  3.658E-07    3.54 m    137.24 mm    50.98 mm  
 650.00 MeV   2.022E-03  3.395E-07    3.99 m    151.85 mm    56.81 mm  
 700.00 MeV   1.972E-03  3.168E-07    4.46 m    165.89 mm    62.69 mm  
 800.00 MeV   1.893E-03  2.797E-07    5.43 m    215.53 mm    74.52 mm  
 900.00 MeV   1.833E-03  2.505E-07    6.44 m    258.52 mm    86.36 mm  
   1.00 GeV   1.788E-03  2.270E-07    7.47 m    297.34 mm    98.13 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  5.3398E+00                 eV / Angstrom 
  5.3398E+01                keV / micron   
  5.3398E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1526E+01                 eV / (1E15 atoms/cm2)
  6.2836E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
