 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> aout 08, 2018
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Diamond.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.5200E+00 g/cm3 = 1.7648E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 225.00 MeV   3.732E-03  1.153E-06  100.42 mm     4.13 mm     2.32 mm
 250.00 MeV   3.499E-03  1.046E-06  120.05 mm     5.00 mm     2.75 mm
 275.00 MeV   3.307E-03  9.575E-07  140.91 mm     5.83 mm     3.20 mm
 300.00 MeV   3.146E-03  8.835E-07  162.91 mm     6.63 mm     3.66 mm
 325.00 MeV   3.010E-03  8.204E-07  185.97 mm     7.41 mm     4.14 mm
 350.00 MeV   2.893E-03  7.660E-07  210.02 mm     8.18 mm     4.64 mm
 375.00 MeV   2.792E-03  7.185E-07  234.98 mm     8.94 mm     5.15 mm
 400.00 MeV   2.704E-03  6.768E-07  260.80 mm     9.68 mm     5.67 mm
 450.00 MeV   2.558E-03  6.068E-07  314.78 mm    12.38 mm     6.74 mm
 500.00 MeV   2.441E-03  5.503E-07  371.59 mm    14.81 mm     7.84 mm
 550.00 MeV   2.347E-03  5.037E-07  430.89 mm    17.07 mm     8.97 mm
 600.00 MeV   2.269E-03  4.646E-07  492.40 mm    19.21 mm    10.12 mm
 650.00 MeV   2.204E-03  4.313E-07  555.87 mm    21.26 mm    11.27 mm
 700.00 MeV   2.149E-03  4.025E-07  621.08 mm    23.22 mm    12.44 mm
 800.00 MeV   2.063E-03  3.555E-07  755.93 mm    30.14 mm    14.79 mm
 900.00 MeV   1.998E-03  3.186E-07  895.81 mm    36.14 mm    17.13 mm
   1.00 GeV   1.948E-03  2.888E-07    1.04 m     41.56 mm    19.47 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3.5199E+01                 eV / Angstrom
  3.5199E+02                keV / micron
  3.5199E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  1.9945E+01                 eV / (1E15 atoms/cm2)
  1.0523E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
