 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> ao�t 08, 2018 
 ==================================================================
 Disk File Name = SRIM Outputs\Hydrogen in  B- C.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.5200E+00 g/cm3 = 1.3732E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    080.00    078.26   
      C      6    020.00    021.74   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 140.00 MeV   4.835E-03  1.605E-06   65.35 mm     2.66 mm     1.47 mm  
 150.00 MeV   4.607E-03  1.506E-06   73.75 mm     2.92 mm     1.65 mm  
 160.00 MeV   4.406E-03  1.419E-06   82.55 mm     3.19 mm     1.84 mm  
 170.00 MeV   4.228E-03  1.342E-06   91.74 mm     3.45 mm     2.03 mm  
 180.00 MeV   4.069E-03  1.273E-06  101.30 mm     3.72 mm     2.24 mm  
 200.00 MeV   3.797E-03  1.155E-06  121.47 mm     4.71 mm     2.66 mm  
 225.00 MeV   3.522E-03  1.036E-06  148.58 mm     6.10 mm     3.22 mm  
 250.00 MeV   3.301E-03  9.394E-07  177.65 mm     7.39 mm     3.81 mm  
 275.00 MeV   3.120E-03  8.601E-07  208.54 mm     8.61 mm     4.43 mm  
 300.00 MeV   2.968E-03  7.935E-07  241.11 mm     9.80 mm     5.08 mm  
 325.00 MeV   2.840E-03  7.368E-07  275.26 mm    10.96 mm     5.75 mm  
 350.00 MeV   2.729E-03  6.879E-07  310.86 mm    12.09 mm     6.44 mm  
 375.00 MeV   2.634E-03  6.452E-07  347.83 mm    13.21 mm     7.15 mm  
 400.00 MeV   2.551E-03  6.077E-07  386.08 mm    14.31 mm     7.87 mm  
 450.00 MeV   2.412E-03  5.448E-07  466.03 mm    18.30 mm     9.36 mm  
 500.00 MeV   2.302E-03  4.940E-07  550.18 mm    21.90 mm    10.89 mm  
 550.00 MeV   2.213E-03  4.522E-07  638.04 mm    25.24 mm    12.45 mm  
 600.00 MeV   2.139E-03  4.170E-07  729.18 mm    28.41 mm    14.04 mm  
 650.00 MeV   2.078E-03  3.871E-07  823.22 mm    31.44 mm    15.65 mm  
 700.00 MeV   2.026E-03  3.613E-07  919.86 mm    34.35 mm    17.27 mm  
 800.00 MeV   1.944E-03  3.191E-07    1.12 m     44.60 mm    20.53 mm  
 900.00 MeV   1.883E-03  2.859E-07    1.33 m     53.49 mm    23.80 mm  
   1.00 GeV   1.836E-03  2.592E-07    1.54 m     61.53 mm    27.05 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.5199E+01                 eV / Angstrom 
  2.5199E+02                keV / micron   
  2.5199E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.8350E+01                 eV / (1E15 atoms/cm2)
  9.9802E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
