 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> ao�t 09, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  Mylar .txt
 Ion = Hydrogen [1] , Mass = 1.008 amu
 Target Density =  1.4000E+00 g/cm3 = 9.6517E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 275.00 MeV   3.467E-03  1.086E-06  338.03 mm    13.98 mm     7.77 mm  
 300.00 MeV   3.299E-03  1.002E-06  390.78 mm    15.91 mm     8.90 mm  
 325.00 MeV   3.157E-03  9.301E-07  446.06 mm    17.79 mm    10.07 mm  
 350.00 MeV   3.035E-03  8.684E-07  503.69 mm    19.63 mm    11.28 mm  
 375.00 MeV   2.930E-03  8.146E-07  563.52 mm    21.44 mm    12.51 mm  
 400.00 MeV   2.838E-03  7.673E-07  625.39 mm    23.23 mm    13.78 mm  
 450.00 MeV   2.685E-03  6.878E-07  754.69 mm    29.68 mm    16.38 mm  
 500.00 MeV   2.564E-03  6.237E-07  890.71 mm    35.49 mm    19.05 mm  
 550.00 MeV   2.465E-03  5.709E-07    1.03 m     40.90 mm    21.78 mm  
 600.00 MeV   2.385E-03  5.265E-07    1.18 m     46.02 mm    24.55 mm  
 650.00 MeV   2.318E-03  4.888E-07    1.33 m     50.91 mm    27.35 mm  
 700.00 MeV   2.261E-03  4.562E-07    1.49 m     55.61 mm    30.17 mm  
 800.00 MeV   2.171E-03  4.029E-07    1.81 m     72.11 mm    35.85 mm  
 900.00 MeV   2.105E-03  3.610E-07    2.14 m     86.41 mm    41.52 mm  
   1.00 GeV   2.054E-03  3.273E-07    2.49 m     99.33 mm    47.16 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.4000E+01                 eV / Angstrom 
  1.4000E+02                keV / micron   
  1.4000E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.4505E+01                 eV / (1E15 atoms/cm2)
  7.0529E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
