PSTAR: Stopping Powers and Range Tables for Protons

POLYCARBONATE (MAKROLON, LEXAN)

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2

4.000E+01 1.417E+01 6.133E-03 1.418E+01 1.561E+00 1.559E+00 0.9986
4.500E+01 1.290E+01 5.484E-03 1.290E+01 1.931E+00 1.929E+00 0.9987
5.000E+01 1.186E+01 4.962E-03 1.186E+01 2.336E+00 2.333E+00 0.9987
5.500E+01 1.099E+01 4.532E-03 1.100E+01 2.774E+00 2.770E+00 0.9987
6.000E+01 1.027E+01 4.172E-03 1.027E+01 3.245E+00 3.241E+00 0.9987
6.500E+01 9.643E+00 3.867E-03 9.647E+00 3.747E+00 3.743E+00 0.9987
7.000E+01 9.103E+00 3.603E-03 9.107E+00 4.281E+00 4.276E+00 0.9987
7.500E+01 8.631E+00 3.375E-03 8.634E+00 4.845E+00 4.839E+00 0.9988
8.000E+01 8.214E+00 3.174E-03 8.217E+00 5.439E+00 5.432E+00 0.9988
8.500E+01 7.843E+00 2.996E-03 7.846E+00 6.062E+00 6.055E+00 0.9988
9.000E+01 7.511E+00 2.837E-03 7.513E+00 6.714E+00 6.705E+00 0.9988
9.500E+01 7.211E+00 2.695E-03 7.214E+00 7.393E+00 7.384E+00 0.9988
1.000E+02 6.940E+00 2.566E-03 6.943E+00 8.100E+00 8.090E+00 0.9988
1.250E+02 5.895E+00 2.075E-03 5.897E+00 1.202E+01 1.201E+01 0.9988
1.500E+02 5.184E+00 1.745E-03 5.185E+00 1.656E+01 1.654E+01 0.9989
1.750E+02 4.668E+00 1.506E-03 4.669E+00 2.165E+01 2.163E+01 0.9989
2.000E+02 4.276E+00 1.327E-03 4.278E+00 2.725E+01 2.722E+01 0.9989
2.250E+02 3.970E+00 1.186E-03 3.971E+00 3.333E+01 3.329E+01 0.9990
2.500E+02 3.723E+00 1.073E-03 3.724E+00 3.983E+01 3.979E+01 0.9990
2.750E+02 3.520E+00 9.797E-04 3.521E+00 4.674E+01 4.670E+01 0.9990
3.000E+02 3.351E+00 9.019E-04 3.352E+00 5.403E+01 5.397E+01 0.9990
3.500E+02 3.085E+00 7.789E-04 3.086E+00 6.960E+01 6.954E+01 0.9991
4.000E+02 2.886E+00 6.860E-04 2.887E+00 8.638E+01 8.630E+01 0.9991
4.500E+02 2.733E+00 6.134E-04 2.733E+00 1.042E+02 1.041E+02 0.9991
5.000E+02 2.611E+00 5.549E-04 2.612E+00 1.229E+02 1.228E+02 0.9991
5.500E+02 2.513E+00 5.069E-04 2.513E+00 1.424E+02 1.423E+02 0.9992
6.000E+02 2.432E+00 4.667E-04 2.433E+00 1.627E+02 1.625E+02 0.9992
6.500E+02 2.365E+00 4.326E-04 2.366E+00 1.835E+02 1.834E+02 0.9992
7.000E+02 2.309E+00 4.033E-04 2.309E+00 2.049E+02 2.048E+02 0.9992
