Name,stdx,stdy,gaussian_fit_stdx,gaussian_fit_stdy,x_quantile_minus_1_sigma,x_quantile_plus_1_sigma,y_quantile_minus_1_sigma,y_quantile_plus_1_sigma,x_quantile_minus_2_sigma,x_quantile_plus_2_sigma,y_quantile_minus_2_sigma,y_quantile_plus_2_sigma,x_quantile_50,y_quantile_50,AT_EXIT
DRIFT_WINDOW_EXTR,0.008772501721978188,0.0020139638800174,0.011048413026739902,0.0018316348582703946,-0.011361937038600443,0.009105900302529337,-0.0018831445919349765,0.0018957044230774047,-0.014981381595134737,0.014557999558746816,-0.00411198940128088,0.004160368947312044,-0.0018978132866322996,-1.1139825801365076e-05,2.12405
WINDOW_EXTR,0.008784518577158451,0.002266537630930543,0.010583701172614023,0.0018340297205015528,-0.011358842253685,0.009102873504161836,-0.001884486526250839,0.0018959185108542442,-0.014977199025452137,0.014553848654031754,-0.004118830824736506,0.004167468287050724,-0.0018972380203194923,-1.1140331480419265e-05,2.12415
DRIFT_P1E,0.005520602222532035,0.002375172218307853,0.006600952479201401,0.001806213293444012,-0.007068303287960589,0.005696380697190761,-0.001866494942223653,0.001872546742670238,-0.009354538014158607,0.009124119607731698,-0.004106025672517717,0.004138807626441121,-0.0011158081470057366,-5.0269177336303974e-06,2.2509
P1E,0.006337243132293224,0.006994345225393772,0.002473366881755957,0.003136945475194389,-0.0027259572758339353,0.002865214372286573,-0.0034722195693757387,0.003503950190497562,-0.011094138692133129,0.01120348353404552,-0.011323784487321973,0.012092236028984195,7.387893128907308e-05,1.6061425753832737e-06,2.4559
DRIFT_WINDOW_IN,0.0076073254458606234,0.008215436711907387,0.00296862860171695,0.0035301668910986406,-0.003239001585170626,0.0035461792163550853,-0.003959875591099261,0.003992647714912892,-0.013957752883434295,0.014236727766692615,-0.014196908958256246,0.015053543038666227,0.00015615631127730012,-1.974035285456921e-06,2.47545
WINDOW_IN,0.0076146419160068035,0.008222587406635284,0.0029725794687923907,0.0035323966647310295,-0.003242064458318055,0.003550049487501383,-0.003962211195379496,0.00399451781436801,-0.013970975436270235,0.014249172795563963,-0.014212707336992024,0.015071917288005394,0.00015652168076485395,-2.141597178706434e-06,2.47555
COL,0.002358479658141732,0.0023699162993580107,0.003028274034039569,0.0030608552978007696,-0.0026213021883741017,0.0026185206796508283,-0.0025213643894530834,0.002759814326884225,-0.0043062240588478745,0.004294451332651079,-0.00428002869291231,0.004356271853204817,8.54865265864646e-06,0.00015994771820260212,2.53055
DRIFT_T1G_X,0.008746386505663395,0.011320705525577068,0.00929182113980365,0.01263990019715328,-0.009097721328027546,0.00906128812674433,-0.010994578783400356,0.013208731442689893,-0.016962384268641467,0.016926535923033954,-0.020837305162101985,0.022093900822103024,-1.153585026258952e-05,0.0013626898289658131,2.923545
T1G_X,0.011495448648929596,0.014011808671057224,0.012618842606219118,0.017913638487248872,-0.012168957663699985,0.01209270003810525,-0.014307266626507043,0.016775203730911015,-0.022289817433804274,0.02210728718712927,-0.025205489501357082,0.026100690800696616,-2.963757651741616e-05,0.001644824747927487,3.132645
DRIFT_T2G_Y,0.011694139800965786,0.01413487084209919,0.012916508442948131,0.018317859811780253,-0.0124125522300601,0.012345466920174658,-0.014477256761863825,0.016946398820728063,-0.022597633510828014,0.02241129412129522,-0.025322013737633826,0.026240464325994254,-3.5420298445387743e-05,0.0016576952184550464,3.153545
T2G_Y,0.01313221361488104,0.014843578450381756,0.015532500501364762,0.021205932672364737,-0.014249115236103537,0.01424000766128301,-0.01576602257974446,0.01790108294971287,-0.02476304917596281,0.02461842575110494,-0.026047161493450405,0.026678732505068185,-2.4057208065642044e-05,0.0015031880466267467,3.362645
DRIFT_Q1G,0.013510877266526222,0.014975407160818575,0.01643446206037345,0.021874855311039536,-0.014769553262740372,0.014824249073863031,-0.0160284636542201,0.018014933206140997,-0.02513384647667408,0.025010272301733485,-0.026253446601331238,0.026761665455996987,-1.1210207048861777e-05,0.0014414811739698052,3.4505
Q1G,0.014973391778767109,0.013996658846735954,0.021849323501888868,0.01843057337610033,-0.01706494571268559,0.01701737820729613,-0.015008062990382315,0.016515026230365038,-0.026372852865606547,0.02649041875451804,-0.024755396261811256,0.02524178788438441,-0.00010553005995461716,0.0011134319938719273,3.7475
DRIFT_Q2G,0.0160417091101408,0.011822382919490336,0.03098522527285596,0.014174344724897616,-0.018786745056509967,0.018688709346577525,-0.012746939979493615,0.013814500018954276,-0.027099001552909608,0.02708525606989861,-0.020978254336863757,0.021005262760445474,-0.0001621551637072116,0.000749445374822244,4.0505
Q2G,0.015618006698787212,0.011678089387714865,0.027119516882965586,0.01388066476554833,-0.01816605382412672,0.01814661096408963,-0.0126437745410949,0.013556742528453462,-0.026565820205956697,0.02648143805935979,-0.020533567279577253,0.02048103918135166,-0.00013498523912858218,0.0007740690489299594,4.3475
