PSTAR: Stopping Powers and Range Tables for Protons

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

5.000E+01 1.159E+01 4.775E-03 1.159E+01 2.393E+00 2.389E+00 0.9986 
5.500E+01 1.075E+01 4.361E-03 1.075E+01 2.841E+00 2.837E+00 0.9986 
6.000E+01 1.004E+01 4.015E-03 1.004E+01 3.322E+00 3.318E+00 0.9986 
6.500E+01 9.428E+00 3.721E-03 9.432E+00 3.837E+00 3.831E+00 0.9986 
7.000E+01 8.901E+00 3.468E-03 8.904E+00 4.382E+00 4.377E+00 0.9986 
7.500E+01 8.439E+00 3.248E-03 8.443E+00 4.959E+00 4.953E+00 0.9987 
8.000E+01 8.032E+00 3.055E-03 8.035E+00 5.567E+00 5.559E+00 0.9987 
8.500E+01 7.670E+00 2.883E-03 7.673E+00 6.204E+00 6.196E+00 0.9987 
9.000E+01 7.346E+00 2.731E-03 7.348E+00 6.870E+00 6.861E+00 0.9987 
9.500E+01 7.054E+00 2.594E-03 7.056E+00 7.564E+00 7.555E+00 0.9987 
1.000E+02 6.789E+00 2.470E-03 6.791E+00 8.287E+00 8.276E+00 0.9987 
1.250E+02 5.768E+00 1.998E-03 5.770E+00 1.230E+01 1.228E+01 0.9988 
1.500E+02 5.073E+00 1.679E-03 5.074E+00 1.693E+01 1.691E+01 0.9988 
1.750E+02 4.568E+00 1.450E-03 4.570E+00 2.214E+01 2.211E+01 0.9988 
2.000E+02 4.186E+00 1.277E-03 4.187E+00 2.786E+01 2.783E+01 0.9989 
2.250E+02 3.886E+00 1.142E-03 3.887E+00 3.406E+01 3.403E+01 0.9989 
2.500E+02 3.645E+00 1.033E-03 3.646E+00 4.071E+01 4.067E+01 0.9989 
2.750E+02 3.447E+00 9.433E-04 3.448E+00 4.777E+01 4.772E+01 0.9989 
3.000E+02 3.281E+00 8.684E-04 3.282E+00 5.520E+01 5.515E+01 0.9989 
3.500E+02 3.021E+00 7.500E-04 3.022E+00 7.111E+01 7.104E+01 0.9990 
4.000E+02 2.827E+00 6.606E-04 2.827E+00 8.824E+01 8.815E+01 0.9990 
4.500E+02 2.677E+00 5.906E-04 2.677E+00 1.064E+02 1.063E+02 0.9990 
5.000E+02 2.558E+00 5.344E-04 2.558E+00 1.255E+02 1.254E+02 0.9991 
5.500E+02 2.462E+00 4.882E-04 2.462E+00 1.455E+02 1.454E+02 0.9991 
6.000E+02 2.383E+00 4.495E-04 2.383E+00 1.661E+02 1.660E+02 0.9991 
6.500E+02 2.318E+00 4.166E-04 2.318E+00 1.874E+02 1.872E+02 0.9991 
7.000E+02 2.262E+00 3.883E-04 2.263E+00 2.092E+02 2.091E+02 0.9992 
7.500E+02 2.214E+00 3.638E-04 2.215E+00 2.316E+02 2.314E+02 0.9992 
8.000E+02 2.173E+00 3.422E-04 2.173E+00 2.544E+02 2.542E+02 0.9992 
8.500E+02 2.137E+00 3.231E-04 2.137E+00 2.776E+02 2.774E+02 0.9992 
