#BLTrackFile
# x  y	z	Px	Py	Pz	t	PDGid	EventID	TrackID	ParentID    Weight
# mm mm mm MeV/c MeV/c MeV/c ns - - - -  -
-9.7803 4.3346 0 -1.758 -1.5971 696.29 0 2212 155 1 1 1
-3.4672 3.2941 0 -1.6667 -0.72597 696.3 0 2212 156 1 1 1
-0.80467 -0.89625 0 0.8958 0.29038 696.3 0 2212 157 1 1 1
-3.3992 1.8273 0 -1.6588 -0.58078 696.3 0 2212 158 1 1 1
7.5303 -2.8248 0 2.5526 0.58078 696.29 0 2212 159 1 1 1
9.4362 0.74 0 2.934 0 696.29 0 2212 160 1 1 1
-2.551 -3.3203 0 -1.8859 0.72597 696.29 0 2212 161 1 1 1
-1.5429 -0.66 0 -1.8031 0.14519 696.3 0 2212 162 1 1 1
-2.6149 -5.6839 0 -1.1717 1.3067 696.3 0 2212 163 1 1 1
-7.3967 -2.8073 0 -2.3143 0.87116 696.29 0 2212 164 1 1 1
16.407 -7.161 0 4.7038 -0.29038 696.27 0 2212 165 1 1 1
4.2676 -3.6475 0 1.5233 0.87116 696.3 0 2212 166 1 1 1
-11.936 -4.0993 0 -2.9747 1.7423 696.28 0 2212 167 1 1 1
-4.0101 -1.8895 0 -1.9593 0.43558 696.29 0 2212 168 1 1 1
-10.787 1.9581 0 -2.0494 -0.72597 696.29 0 2212 169 1 1 1
1.0726 4.286 0 -1.0354 -0.72597 696.3 0 2212 170 1 1 1
0.27541 -2.44 0 -1.8013 0.43558 696.29 0 2212 171 1 1 1
3.7993 0.89706 0 -1.4068 -0.14519 696.3 0 2212 172 1 1 1
14.029 1.3367 0 4.3691 -0.14519 696.27 0 2212 173 1 1 1
-11.676 -6.0673 0 -2.3599 2.6135 696.28 0 2212 174 1 1 1
-2.0303 -4.6428 0 -2.0161 0.87116 696.29 0 2212 175 1 1 1
-4.3031 1.6477 0 -2.2013 -0.43558 696.29 0 2212 176 1 1 1
11.034 -3.9939 0 3.5946 0.66878 696.28 0 2212 177 1 1 1
-9.0808 3.3922 0 -2.5921 -1.1616 696.29 0 2212 178 1 1 1
3.2239 4.0488 0 -0.84231 -0.72597 696.3 0 2212 179 1 1 1
4.8708 -5.8488 0 1.9004 1.4519 696.29 0 2212 180 1 1 1
17.717 -1.71 0 4.9513 -0.29038 696.26 0 2212 181 1 1 1
14.781 -7.37 0 4.0176 0 696.28 0 2212 182 1 1 1
2.4205 2.07 0 -1.1406 -0.29038 696.3 0 2212 183 1 1 1
-8.4349 2.5108 0 -2.2135 -0.87116 696.29 0 2212 184 1 1 1
-8.7443 3.7629 0 -1.2856 -1.3067 696.3 0 2212 185 1 1 1
9.7427 5.8364 0 3.285 -1.0164 696.28 0 2212 186 1 1 1
-5.7223 -5.4402 0 -0.45457 1.8875 696.29 0 2212 187 1 1 1
-9.6602 3.684 0 -1.4663 -1.3067 696.29 0 2212 188 1 1 1
-8.6476 2.5978 0 -1.3424 -0.87116 696.3 0 2212 189 1 1 1
-11.152 -4.1381 0 -2.212 1.5971 696.29 0 2212 190 1 1 1
4.5041 0.83 0 -1.1732 0 696.3 0 2212 191 1 1 1
1.9506 4.2191 0 -1.1209 -0.72597 696.3 0 2212 192 1 1 1
-0.02992 1.9989 0 0.66367 -0.58078 696.3 0 2212 193 1 1 1
-11.62 2.1906 0 -2.1656 -1.0164 696.29 0 2212 194 1 1 1
2.8553 -5.2435 0 1.5683 1.4519 696.29 0 2212 195 1 1 1
-10.469 7.5581 0 -1.8733 -2.7587 696.28 0 2212 196 1 1 1
-11.92 -0.88 0 -3.1523 0.43558 696.29 0 2212 197 1 1 1
-3.8899 2.4023 0 -0.63948 -0.87116 696.3 0 2212 198 1 1 1
4.1998 0.75 0 -1.5595 -0.14519 696.3 0 2212 199 1 1 1
18.775 -0.72 0 4.1008 -0.14519 696.28 0 2212 200 1 1 1
0.55363 -5.1084 0 0.93927 1.4519 696.3 0 2212 201 1 1 1
12.878 -2.2938 0 4.4197 0.29038 696.27 0 2212 202 1 1 1
-11.461 3.3436 0 -3.2236 -1.3067 696.28 0 2212 203 1 1 1
-10.138 0 0 -1.8301 -0.14519 696.3 0 2212 204 1 1 1
-11.609 0.78976 0 -2.2476 -0.29038 696.29 0 2212 205 1 1 1
-8.465 -1.6812 0 -1.6371 0.58078 696.3 0 2212 206 1 1 1
-3.7642 3.5927 0 -0.4421 -1.1616 696.3 0 2212 207 1 1 1
0.12435 3.1176 0 0.59448 -0.87116 696.3 0 2212 208 1 1 1
18.006 -1.2275 0 4.4708 -0.14519 696.27 0 2212 209 1 1 1
18.932 7.6412 0 4.6938 1.5971 696.26 0 2212 210 1 1 1
-11.215 -3.5286 0 -2.2054 1.4519 696.29 0 2212 211 1 1 1
-0.72606 4.0727 0 0.56558 -1.1616 696.3 0 2212 212 1 1 1
8.8991 -5.097 0 2.5878 1.0164 696.29 0 2212 213 1 1 1
-10.752 2.9454 0 -2.0847 -1.1616 696.29 0 2212 214 1 1 1
15.417 -3.08 0 4.6402 -0.14519 696.27 0 2212 215 1 1 1
9.091 -2.5717 0 3.1615 0.58078 696.28 0 2212 216 1 1 1
-6.5927 -4.5084 0 -2.3571 1.1616 696.29 0 2212 217 1 1 1
-12.368 -6.2885 0 -2.9165 2.7587 696.28 0 2212 218 1 1 1
7.5327 -5.387 0 2.5662 1.1616 696.29 0 2212 219 1 1 1
-7.1782 -1.4828 0 -1.9615 0.43558 696.29 0 2212 220 1 1 1
-8.2077 3.6173 0 -1.826 -1.3067 696.29 0 2212 221 1 1 1
-10.049 0.3 0 -1.9608 0 696.29 0 2212 222 1 1 1
-6.7949 3.5919 0 -1.2991 -1.3067 696.29 0 2212 223 1 1 1
-10.869 0.41804 0 -2.1831 -0.14519 696.29 0 2212 224 1 1 1
16.707 -6.5217 0 4.7119 -0.43558 696.27 0 2212 225 1 1 1
9.6853 2.444 0 3.1184 -0.43558 696.29 0 2212 226 1 1 1
-10.616 -5.1093 0 -1.8641 1.8875 696.29 0 2212 227 1 1 1
-7.3901 3.5872 0 -1.5782 -1.3067 696.29 0 2212 228 1 1 1
2.1932 -4.8177 0 1.5895 1.3067 696.29 0 2212 229 1 1 1
8.8945 2.5 0 -0.77529 0.12942 696.3 0 2212 230 1 1 1
11.89 2.7628 0 -0.11023 0.29038 696.3 0 2212 231 1 1 1
12.269 -0.52 0 -0.56551 0 696.3 0 2212 232 1 1 1
-12.032 -3.9585 0 -3.3146 1.5971 696.28 0 2212 233 1 1 1
2.9333 -7.7244 0 1.7789 2.0327 696.29 0 2212 234 1 1 1
13.197 5.5377 0 3.8604 -0.43558 696.28 0 2212 235 1 1 1
-11.07 1.9384 0 -2.6447 -0.87116 696.29 0 2212 236 1 1 1
-10.728 -7.8375 0 -1.8843 3.0491 696.28 0 2212 237 1 1 1
9.8869 -6.2105 0 2.9343 1.0164 696.29 0 2212 238 1 1 1
4.0631 5.9291 0 1.6406 -1.4519 696.29 0 2212 239 1 1 1
1.6408 -5.9909 0 1.4945 1.7423 696.29 0 2212 240 1 1 1
